,lcbatch,sortday,MS_Run,celltype,id,channel,sub,Set,well,label,sample.x,sample.y,isoTime,diameter,elongation,slide,field,dropXPos,dropYPos,pickupXPos,pickupYPos,wellAlph,wellNum
1,C,B,88,carrier,i1,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,C,B,88,reference,i2,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,C,B,88,unused,i3,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,C,B,88,unused,i4,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,C,B,88,u,i5,Reporter.intensity.5,NA,XeAL00219,N1,5,u,d0,11:18:14 AM,17.6,1.58,2,2,21,56,15,58,N,1
6,C,B,88,u,i6,Reporter.intensity.6,NA,XeAL00219,N1,6,u,d0,11:18:20 AM,22.78,1.53,2,2,9,60,15,58,N,1
7,C,B,88,u,i7,Reporter.intensity.7,NA,XeAL00219,N1,7,u,d0,11:18:22 AM,20.54,1.72,2,2,13,60,15,58,N,1
8,C,B,88,u,i8,Reporter.intensity.8,NA,XeAL00219,N1,8,u,d0,11:18:23 AM,19.29,1.62,2,2,17,60,15,58,N,1
9,C,B,88,u,i9,Reporter.intensity.9,NA,XeAL00219,N1,9,u,d0,11:18:25 AM,21.97,1.53,2,2,21,60,15,58,N,1
10,C,B,88,u,i10,Reporter.intensity.10,NA,XeAL00219,N1,10,u,d0,11:18:43 AM,19.7,1.94,2,2,11,64,15,58,N,1
11,C,B,88,u,i11,Reporter.intensity.11,NA,XeAL00219,N1,11,u,d0,11:18:45 AM,19.34,1.33,2,2,15,64,15,58,N,1
12,C,B,88,neg,i12,Reporter.intensity.12,NA,XeAL00219,N1,12,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,C,B,88,m,i13,Reporter.intensity.13,C1,XeAL00219,N1,13,m,d0,10:34:22 AM,25.04,1.54,2,2,11,52,15,58,N,1
